date,month,temperature_C,humidity_pct,rainfall_mm
2023-07-01,July,32.6,71.4,2.0
2024-07-17,July,30.0,63.0,0.1
2024-04-11,April,22.6,76.5,14.2
2023-07-18,July,24.1,60.0,0.0
2024-12-18,December,5.8,72.1,0.0
2023-10-07,October,15.6,65.9,0.0
2023-11-28,November,9.9,75.7,0.0
2024-12-04,december,3.4,63.1,2.4
2023-07-10,July,32.2,61.2,0.0
2024-06-18,June,27.7,56.7,0.0
2023-08-11,August,32.5,56.0,37.8
2023-04-25,April,28.0,49.9,0.0
2023-06-01,June,28.6,74.1,0.0
2024-04-05,April,23.9,62.2,16.5
2023-07-07,July,25.8,58.8,0.0
2023-03-15,March,11.1,84.4,0.0
2023-08-29,August,24.6,55.2,0.0
2023-05-26,May,27.1,70.6,0.0
2024-07-16,July,25.2,74.6,0.0
2023-09-13,September,23.1,70.9,0.0
2023-04-06,april,23.3,63.6,26.4
2024-09-02,September,23.3,54.8,0.0
2024-01-07,January,4.2,85.3,0.7
2024-01-06,January,3.4,83.1,0.8
2024-05-30,May,30.0,66.5,0.0
2024-02-17,February,11.4,72.3,2.3
2024-05-08,May,,,0.0
2024-09-30,September,17.6,57.9,0.0
2023-06-11,June,,54.3,19.1
2024-03-02,March,12.4,72.9,0.0
2023-09-01,September,22.3,70.7,2.9
2024-11-11,November,11.7,68.8,0.0
2024-02-21,February,13.2,73.6,0.0
2023-12-10,December,6.4,76.2,0.0
2023-11-19,November,5.6,79.7,0.0
2024-07-15,July,28.8,61.4,0.0
2024-10-10,October,18.8,67.1,0.0
2023-01-31,January,8.9,66.1,0.0
2024-01-09,January,5.8,75.3,0.0
2023-03-27,March,21.5,73.2,0.0
2024-12-07,December,8.3,73.5,0.0
2023-02-26,February,16.2,76.3,0.0
2024-05-01,May,30.5,58.6,0.7
2024-05-24,May,28.1,73.7,2.4
2024-02-27,February,14.1,69.4,0.0
2024-12-14,December,6.5,77.1,0.0
2023-05-30,May,28.3,61.3,0.0
2024-06-17,June,29.5,63.8,4.1
2023-07-03,July,29.0,60.4,0.0
2023-01-01,January,7.8,75.0,0.0
2024-01-23,January,7.3,76.3,10.4
2024-07-18,July,27.8,65.6,0.1
2023-05-07,may,24.8,48.4,0.0
2023-10-22,October,12.5,68.1,0.0
2023-02-14,February,13.7,87.8,3.7
2024-11-07,November,11.5,72.0,5.7
2023-11-10,November,5.7,68.5,0.0
2024-08-29,August,19.0,59.8,0.0
2023-04-20,April,26.1,56.2,0.0
2023-02-28,February,20.7,53.4,0.0
2024-01-29,January,6.3,60.3,0.0
2024-04-01,April,15.3,53.4,0.0
2024-08-22,August,,72.4,0.0
2023-12-27,December,6.0,81.8,6.4
2024-12-10,December,5.8,73.3,0.2
2024-03-15,March,17.5,72.2,0.0
2023-06-24,June,27.6,62.9,0.0
2023-05-03,May,21.8,66.2,0.0
